Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-02,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-03,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-04,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-07,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-08,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-09,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-10,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-11,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-14,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-15,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-16,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-17,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-18,0.18636,0.19801,0.18636,0.19801,0.164149,36058
2001-01-21,0.20189,0.20189,0.20189,0.20189,0.167365,38634
2001-01-22,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-01-23,0.21743,0.21743,0.21743,0.21743,0.180248,3863
2001-01-24,0.21743,0.21743,0.21743,0.21743,0.180248,0
2001-01-25,,,,,,
2001-01-28,0.21743,0.23296,0.21743,0.23296,0.193122,66966
2001-01-29,0.23296,0.23296,0.21743,0.21743,0.180248,43785
2001-01-30,0.20189,0.20189,0.18636,0.18636,0.154491,127492
2001-01-31,0.20189,0.20189,0.20189,0.20189,0.167365,5151
2001-02-01,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-02-04,0.20189,0.20189,0.20189,0.20189,0.167365,0
2001-02-05,0.18636,0.20189,0.14754,0.18636,0.154491,3160261
2001-02-06,0.20189,0.20189,0.18636,0.20189,0.167365,381189
2001-02-07,0.20189,0.20189,0.19413,0.19413,0.160932,133931
2001-02-08,0.17472,0.17472,0.17472,0.17472,0.144842,12878
2001-02-11,0.17472,0.17472,0.17472,0.17472,0.144842,0
2001-02-12,0.1786,0.1786,0.1786,0.1786,0.148058,51512
2001-02-13,0.17083,0.17083,0.17083,0.17083,0.141617,30907
2001-02-14,0.17083,0.17083,0.17083,0.17083,0.141617,193170
2001-02-15,0.17472,0.17472,0.17472,0.17472,0.144842,257560
2001-02-18,0.17083,0.17083,0.1553,0.1553,0.128743,64390
2001-02-19,0.1553,0.1786,0.1553,0.1786,0.148058,373462
2001-02-20,0.1786,0.1786,0.1786,0.1786,0.148058,64390
2001-02-21,0.1786,0.1786,0.1786,0.1786,0.148058,141658
2001-02-22,0.14987,0.18636,0.14987,0.18636,0.154491,129295
2001-02-25,0.19413,0.19413,0.19413,0.19413,0.160932,3271
2001-02-26,0.19413,0.19413,0.19413,0.19413,0.160932,18029
2001-02-27,0.14754,0.14754,0.14754,0.14754,0.12231,321950
2001-02-28,0.14754,0.14754,0.14754,0.14754,0.12231,0
